Date,,Day of Week (Sunday = 0),Total Lines Changed,Files Changed,Insertions,Deletions,Difference,Lines Changed Percentile,Files Changed Percentile,Insertions Percentile,Deletions Percentile,ActivityLog Count,ActionLog Distinct User Count,EventLog Count,EventLog Distinct User Count
7/14/2011,4,4,5892,526,2364,3528,-1164,0.905,0.936,0.848,0.936,,,210529,511
7/15/2011,5,5,379,22,255,124,131,0.274,0.242,0.293,0.324,11662,507,167053,376
7/16/2011,6,6,6326,534,3897,2493,1404,0.911,0.94,0.913,0.9,4002,199,89736,143
7/17/2011,7,0,8065,529,5030,2973,2057,0.949,0.938,0.951,0.924,2930,189,90370,131
7/18/2011,8,1,4203,63,537,3666,-3129,0.831,0.649,0.495,0.94,13184,620,198210,471
7/19/2011,9,2,5055,64,4841,214,4627,0.867,0.656,0.943,0.449,14240,557,205373,441
7/20/2011,10,3,5272,88,528,4744,-4216,0.875,0.772,0.489,0.966,11082,546,209376,434
7/21/2011,11,4,724,47,629,95,534,0.436,0.533,0.525,0.278,11756,593,191307,458
7/22/2011,12,5,60,5,43,17,26,0.069,0.063,0.075,0.08,9454,484,165701,369
7/23/2011,13,6,8,2,4,4,0,0.016,0.018,0.025,0.029,2843,185,92488,127
7/24/2011,14,0,719,48,128,591,-463,0.434,0.546,0.16,0.685,4088,214,101063,152
7/25/2011,15,1,1939,114,1820,240,1580,0.672,0.822,0.786,0.483,11825,588,191892,450
7/26/2011,16,2,972,79,6570,346,6224,0.495,0.736,0.97,0.571,12112,589,193113,439
7/27/2011,17,3,9047,442,2474,696,1778,0.962,0.926,0.858,0.717,12388,553,193281,421
7/28/2011,18,4,519,36,317,202,115,0.348,0.413,0.362,0.443,10882,514,185053,403
7/29/2011,19,5,31304,333,24101,7203,16898,1,0.915,1,0.985,11791,570,281082,391
7/30/2011,20,6,147,9,124,23,101,0.12,0.116,0.149,0.099,4219,238,90116,134
7/31/2011,21,0,21624,36,11098,10526,572,0.997,0.413,0.993,0.995,3903,211,91422,167
8/1/2011,22,1,501,39,682,677,5,0.343,0.466,0.535,0.713,10388,562,212093,435
8/2/2011,23,2,1354,175,1944,1034,910,0.58,0.892,0.803,0.793,12108,562,187227,434
8/3/2011,24,3,249,15,64,185,-121,0.183,0.168,0.103,0.415,11843,530,211675,410
8/4/2011,25,4,222,39,688,197,491,0.164,0.466,0.544,0.43,17531,550,198874,417
8/5/2011,26,5,1380,28,307,136,171,0.582,0.329,0.352,0.343,18685,449,190866,347
8/6/2011,27,6,229,16,200,29,171,0.172,0.183,0.234,0.124,7209,204,91022,157
8/7/2011,28,0,38,2,19,19,0,0.048,0.018,0.056,0.088,3743,204,82239,156
8/8/2011,29,1,267,15,226,41,185,0.206,0.168,0.261,0.154,9956,524,174755,412
8/9/2011,30,2,446,8,48,55,-7,0.316,0.103,0.084,0.189,12603,589,199896,469
8/10/2011,31,3,1789,81,2098,240,1858,0.656,0.759,0.818,0.483,10938,556,204411,426
8/11/2011,32,4,1175,51,717,458,259,0.533,0.569,0.554,0.635,12365,593,187967,471
8/12/2011,33,5,2706,121,487,2219,-1732,0.755,0.841,0.472,0.886,8030,467,158611,361
8/13/2011,34,6,191,8,173,18,155,0.137,0.103,0.206,0.086,2474,148,84056,95
8/14/2011,35,0,2815,111,2464,351,2113,0.763,0.82,0.854,0.575,3278,208,112469,149
8/15/2011,36,1,1177,38,925,252,673,0.535,0.453,0.628,0.499,10495,572,179015,432
8/16/2011,37,2,3332,115,244,3088,-2844,0.801,0.827,0.278,0.928,12335,639,221263,509
8/17/2011,38,3,217,24,156,61,95,0.156,0.257,0.181,0.2,11332,604,198266,464
8/18/2011,39,4,2107,98,1945,162,1783,0.7,0.793,0.805,0.383,10753,576,182842,456
8/19/2011,40,5,1421,48,1228,193,1035,0.599,0.546,0.694,0.421,9094,495,204056,382
8/20/2011,41,6,6,1,3,3,0,0.012,0,0.016,0.023,4742,229,106769,174
8/21/2011,42,0,294,40,686,248,438,0.223,0.485,0.54,0.491,4247,226,89589,169
8/22/2011,43,1,181,33,301,520,-219,0.128,0.39,0.339,0.656,10727,565,231428,415
8/23/2011,44,2,1403,58,988,415,573,0.592,0.62,0.647,0.607,11011,938,196565,465
8/24/2011,45,3,260,16,238,52,186,0.2,0.183,0.274,0.177,10463,551,183194,420
8/25/2011,46,4,316,7,264,22,242,0.236,0.08,0.305,0.097,9793,581,260379,430
