title;num_dozens;price;was_sold;date;unit_price
Six Dozen Titleist  2011  PRO V1x  Golf Balls  *NEW*  ;6;216;True;1900-10-01 14:00:00;36
TITLEIST  PRO V1   NEW   ONE DOZEN;1;27.51;True;1900-10-01 13:01:00;27.51
2012 NEW TITLEIST  PROV1X 6 DOZEN LOGOED;6;216.01;True;1900-10-01 12:49:00;36.0016666667
One Dozen New Titleist Pro V1 Golf Balls Free S/H;1;36.01;True;1900-10-01 09:48:00;36.01
One Dozen New Titleist Pro V1 Golf Balls;1;36;True;1900-10-01 09:47:00;36
4 Dozen Titleist Pro V1 Golf Balls - NEW - No Logo - 1,2,3,4;4;0.99;False;1900-10-01 07:24:00;0.2475
Titleist Pro V1 !!NEW!! 4 dozen 2011 Unopened!;4;139.5;True;1900-10-01 07:07:00;34.875
One Dozen Titleist Pro V1x Golf Balls;1;36.77;True;1900-10-01 06:16:00;36.77
3 dozen Titleist Pro V1X latest version brand new, free of logos or artwork ;3;107;True;1900-10-01 05:45:00;35.6666666667
8 dozen new 2012 Titleist Pro V1X golf balls;8;280;True;1900-10-01 05:44:00;35
3 dozen Titleist Pro V1 latest version brand new, free of logos or artwork ;3;107.5;True;1900-10-01 05:44:00;35.8333333333
8 dozen new 2012 Titleist Pro V1 golf balls ;8;280;False;1900-10-01 05:37:00;35
NEW Titleist Pro V1 High Number Golf Balls White 5 Dozen;5;195;True;1900-10-01 05:33:00;39
NEW TITLEIST PRO V1 Dozen Golf Balls;1;25;False;1900-10-01 02:50:00;25
Titleist Pro V1 Golf Balls. 1 Dozen Brand New In Box;1;35;False;1900-09-30 23:59:00;35
BRAND NEW ONE DOZEN TITLEIST PRO V1X GOLF BALLS;1;32;True;1900-09-30 21:50:00;32
2 dozen New Titleist Pro V1x Golf Balls;2;80.51;True;1900-09-30 21:00:00;40.255
Titleist PRO V1 5 Dozen Golf Balls Lot Brand New In Boxes;5;192.5;True;1900-09-30 20:14:00;38.5
