date,session,number,bill,question,result,description,yeatotal,naytotal
2005-01-04,1st,1,QUORUM,Call of the House by States,Passed,,0,0
2005-01-04,1st,2,,Election of the Speaker,Hastert,,,
2005-01-04,1st,3,H RES 5,On Consideration of the Resolution,Passed,Rules of the House of Representatives,224,192
2005-01-04,1st,4,H RES 5,On Ordering the Previous Question,Passed,Rules of the House of Representatives,222,196
2005-01-04,1st,5,H RES 5,On Motion to Commit with Instructions,Failed,Rules of the House of Representatives,196,219
2005-01-04,1st,6,H RES 5,On Agreeing to the Resolution,Passed,Rules of the House of Representatives,220,195
2005-01-06,1st,7,MOTION,On Agreeing to the Objection,Failed,,31,267
2005-01-25,1st,8,H CON RES 16,"On Motion to Suspend the Rules and Agree, as Amended",Passed,Congratulating the people of Ukraine and Viktor Yushchenko on his election as President of Ukraine and his commitment to democracy and reform,392,1
2005-01-25,1st,9,H RES 39,On Motion to Suspend the Rules and Agree,Passed,"Commending Countries and Organizations for Marking the 60th Anniversary of the Liberation of Auschwitz and Urging a Strengthening of the Fight against Racism, Intolerance, Bigotry, Prejudice, Discrimination, and Anti-Semitism",393,0
2005-01-26,1st,10,H R 54,On Agreeing to the Amendment,Failed,,189,212
2005-01-26,1st,11,H R 54,On Agreeing to the Amendment,Failed,,182,211
2005-01-26,1st,12,H R 54,On Motion to Recommit with Instructions,Failed,"To amend title 31, United States Code, to provide reasonable standards for congressional gold medals, and for other purposes",187,217
2005-01-26,1st,13,H R 54,On Passage,Passed,"To amend title 31, United States Code, to provide reasonable standards for congressional gold medals, and for other purposes",231,173
2005-02-01,1st,14,H RES 23,On Motion to Suspend the Rules and Agree,Passed,Honoring the contributions of Catholic schools,408,0
2005-02-01,1st,15,H R 120,On Motion to Suspend the Rules and Pass,Passed,"To designate the facility of the United States Postal Service located at 30777 Rancho California Road at Temecula, California, as the “Dalip Singh Saund Post Office Building”",410,0
2005-02-02,1st,16,H CON RES 36,On Agreeing to the Resolution,Passed,Expressing the continued support of Congress for equal access of military recruiters to institutions of higher education,327,84
2005-02-02,1st,17,H RES 56,On Motion to Suspend the Rules and Agree,Passed,"Commending the Palestinian people for conducting a free and fair presidential election on January 9, 2005, and for other purposes",415,1
2005-02-02,1st,18,H RES 57,On Motion to Suspend the Rules and Agree,Passed,Expressing the strong concern of the House of Representatives that the European Union may end its embargo against the People’s Republic of China,411,3
2005-02-02,1st,19,H RES 60,On Agreeing to the Resolution,Passed,"Relating to the free election in Iraq held on January 30, 2005",404,9
2005-02-08,1st,20,H RES 46,On Motion to Suspend the Rules and Agree,Passed,Supporting the goals and ideals of National Mentoring Month,414,0
2005-02-08,1st,21,H R 315,On Motion to Suspend the Rules and Pass,Passed,"To designate the United States courthouse at 300 North Hogan Street, Jacksonville, Florida, as the “John Milton Bryan Simpson United States Courthouse”",412,0
2005-02-08,1st,22,H R 548,On Motion to Suspend the Rules and Pass,Passed,"To designate the Federal building and United States courthouse located at 200 West 2nd Street in Dayton, Ohio, as the “Tony Hall Federal Building and United States Courthouse”",404,0
2005-02-09,1st,23,H RES 71,On Consideration of the Resolution,Passed,"Providing for consideration of the bill (H.R. 418) to establish and rapidly implement regulations for State driver’s license and identification document security standards, to prevent terrorists from abusing the asylum laws of the United States, to unify terrorism-related grounds for inadmissibility and removal, and ..",228,191
2005-02-09,1st,24,H CON RES 6,On Motion to Suspend the Rules and Agree,Passed,"Expressing the sense of the Congress that the Department of Defense should continue to exercise its statutory authority to support the activities of the Boy Scouts of America, in particular the periodic national and world Boy Scout Jamborees",418,7
