date,session,number,bill,question,result,description,yeatotal,naytotal
2005-01-06,1,1,n/a,On the Objection,Not Sustained,Shall Objection Submitted Be Sustained Re: Electoral Ballot Count,1,74
2005-01-26,1,2,PN8,On the Nomination,Confirmed,"Confirmation Condoleeza Rice, of California, to be Secretary of State",85,13
2005-02-03,1,3,PN12,On the Nomination,Confirmed,Confirmation Alberto R. Gonzales to be Attorney General,60,36
2005-02-07,1,4,S.Res. 38,On the Resolution,Agreed to,"S. Res. 38; A resolution commending the people of Iraq on the January 30, 2005, national elections.",93,0
2005-02-09,1,5,S. 5,On the Motion to Table S.Amdt. 5,Agreed to,Motion to Table Pryor Amdt. No. 5; To exempt class action lawsuits brought by the attorney general of any State from the modified civil procedures required by this Act.,60,39
2005-02-09,1,6,S. 5,On the Amendment S.Amdt. 2,Rejected,"Kennedy Amdt. No. 2; To amend the definition of class action in title 28, United States Code, to exclude class actions relating to civil rights or the payment of wages.",40,59
2005-02-09,1,7,S. 5,On the Amendment S.Amdt. 4,Rejected,"Feinstein Amdt. No. 4; To clarify the application of State law in certain class actions, and for other purposes.",38,61
2005-02-10,1,8,S. 5,On the Amendment S.Amdt. 12,Rejected,Feingold Amdt. No. 12; To establish time limits for action by Federal district courts on motions to remand cases that have been removed to Federal court.,37,61
2005-02-10,1,9,S. 5,On Passage of the Bill,Passed,S. 5; Class Action Fairness Act of 2005,72,26
2005-02-15,1,10,PN122,On the Nomination,Confirmed,"Confirmation Michael Chertoff, of New Jersey, To Be Secretary of Homeland Security",98,0
2005-02-17,1,11,S. 306,On Passage of the Bill,Passed,S. 306 As Amended; Genetic Information Nondiscrimination Act of 2005,98,0
2005-03-01,1,12,S. 256,On the Amendment S.Amdt. 23,Agreed to,Sessions Amdt. No. 23; To clarify the safe harbor with respect to debtors who have serious medical conditions or who have been called or ordered to active duty in the Armed Forces and low income veterans.,63,32
2005-03-01,1,13,S. 256,On the Amendment S.Amdt. 16,Rejected,"Durbin Amdt. No. 16, As Modified.; To protect servicemembers and veterans from means testing in bankruptcy, to disallow certain claims by lenders charging usurious interest rates to servicemembers, and to allow servicemembers to exempt property based on the law of the State of their premilitary residence.",38,58
2005-03-02,1,14,S. 256,On the Amendment S.Amdt. 17,Rejected,Feingold Amdt. No. 17.; To provide a homestead floor for the elderly.,40,59
2005-03-02,1,15,S. 256,On the Amendment S.Amdt. 15,Rejected,"Akaka Amdt. No. 15; To require enhanced disclosure to consumers regarding the consequences of making only minimum required payments in the repayment of credit card debt, and for other purposes.",40,59
2005-03-02,1,16,S. 256,On the Amendment S.Amdt. 28,Rejected,Kennedy Amdt. No. 28.; To exempt debtors whose financial problems were caused by serious medical problems from means testing.,39,58
2005-03-02,1,17,S. 256,On the Amendment S.Amdt. 29,Rejected,Kennedy Amdt. No. 29; To provide protection for medical debt homeowners.,39,58
2005-03-02,1,18,S. 256,On the Amendment S.Amdt. 32,Rejected,Corzine Amdt. No. 32; To preserve existing bankruptcy protections for individuals experiencing economic distress as caregivers to ill or disabled family members.,37,60
2005-03-03,1,19,S.J.Res. 4,On the Joint Resolution,Agreed to,"S.J.Res. 4; A joint resolution providing for congressional disapproval of the rule submitted by the Department of Agriculture under chapter 8 of title 5, United States Code, relating to risk zones for introduction of bovine spongiform encephalopathy.",52,46
2005-03-03,1,20,S. 256,On the Amendment S.Amdt. 31,Rejected,Dayton Amdt. No. 31.; To limit the amount of interest that can be charged on any extension of credit to 30 percent.,24,74
2005-03-03,1,21,S. 256,On the Amendment S.Amdt. 37,Rejected,Nelson (FL) Amdt. No. 37; To exempt debtors from means testing if their financial problems were caused by identity theft.,37,61
2005-03-03,1,22,S. 256,On the Amendment S.Amdt. 38,Rejected,Durbin Amdt. No. 38; To discourage predatory lending practices.,40,58
2005-03-03,1,23,S. 256,On the Amendment S.Amdt. 42,Rejected,Schumer Amdt. No. 42; To limit the exemption for asset protection trusts.,39,56
2005-03-03,1,24,S. 256,On the Amendment S.Amdt. 24,Rejected,Rockefeller Amdt. No. 24; To amend the wage priority provision and to amend the payment of insurance benefits to retirees.,40,54
2005-03-03,1,25,S. 256,On the Amendment S.Amdt. 49,Rejected,Durbin Amdt. No. 49; To protect employees and retirees from corporate practices that deprive them of their earnings and retirement savings when a business files for bankruptcy.,40,54
2005-03-07,1,26,S. 256,On the Amendment S.Amdt. 44,Rejected,Kennedy Amdt. No. 44; To amend the Fair Labor Standards Act of 1938 to provide for an increase in the Federal minimum wage.,46,49
2005-03-07,1,27,S. 256,On the Amendment S.Amdt. 128,Rejected,"Santorum Amdt. No. 128; To promote job creation, family time, and small business preservation in the adjustment of the Federal minimum wage.",38,61
2005-03-08,1,28,S. 256,On the Amendment S.Amdt. 47,Rejected,"Schumer Amdt. No. 47.; To prohibit the discharge, in bankruptcy, of a debt resulting from the debtor's unlawful interference with the provision of lawful goods or services or damage to property used to provide lawful goods or services.",46,53
2005-03-08,1,29,S. 256,On the Cloture Motion,Agreed to,Motion To Invoke Cloture On Bill S. 256; Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,69,31
2005-03-08,1,30,S. 256,On the Amendment S.Amdt. 89,Rejected,Feingold Amdt No. 89 ; To strike certain small business related bankruptcy provisions in the bill.,41,59
2005-03-09,1,31,S. 256,On the Amendment S.Amdt. 110,Rejected,Durbin Amdt. No. 110; To clarify that the means test does not apply to debtors below median income.,42,58
2005-03-09,1,32,S. 256,On the Amendment S.Amdt. 66,Rejected,Harkin Amdt. No. 66; To increase the accrual period for the employee wage priority in bankruptcy.,48,52
2005-03-09,1,33,S. 256,On the Amendment S.Amdt. 62,Rejected,Boxer Amdt. No. 62; To provide for the potential disallowance of certain claims.,40,60
2005-03-09,1,34,S. 256,On the Amendment S.Amdt. 67,Rejected,"Dodd Amdt. No. 67; To modify the bill to protect families, and for other purposes.",42,58
2005-03-09,1,35,S. 256,On the Amendment S.Amdt. 68,Rejected,Kennedy Amdt. No. 68; To provide a maximum amount for a homestead exemption under State law.,47,53
2005-03-10,1,36,S. 256,On the Amendment S.Amdt. 70,Rejected,"Kennedy Amdt. No. 70; To exempt debtors whose financial problems were caused by failure to receive alimony or child support, or both, from means testing.",41,58
2005-03-10,1,37,S. 256,On the Amendment S.Amdt. 69,Rejected,Kennedy Amdt. No. 69; To amend the definition of current monthly income.,41,58
2005-03-10,1,38,S. 256,On the Amendment S.Amdt. 105,Rejected,Akaka Amdt. No. 105; To limit claims in bankruptcy by certain unsecured creditors.,38,61
2005-03-10,1,39,S. 256,On the Amendment S.Amdt. 83,Rejected,Leahy Amdt. No. 83; To modify the definition of disinterested person in the Bankruptcy Code.,44,55
2005-03-10,1,40,S. 256,On the Amendment S.Amdt. 112,Agreed to,Durbin Amdt. No. 112; To protect disabled veterans from means testing in bankruptcy under certain circumstances.,99,0
2005-03-10,1,41,S. 256,On the Amendment S.Amdt. 129,Rejected,Schumer Amdt. No. 129; To limit the exemption for asset protection trusts.,43,56
2005-03-10,1,42,S. 256,On the Amendment S.Amdt. 121,Agreed to,Talent Amdt. No. 121; To deter corporate fraud and prevent the abuse of State self-settled trust law.,73,26
2005-03-10,1,43,S. 250,On Passage of the Bill,Passed,S. 250 As Amended; Carl D. Perkins Career and Technical Education Improvement Act of 2005,99,0
2005-03-10,1,44,S. 256,On Passage of the Bill,Passed,S. 256 As Amended; Bankruptcy Abuse Prevention and Consumer Protection Act of 2005,74,25
2005-03-14,1,45,S.Con.Res. 18,On the Amendment S.Amdt. 143,Rejected,Bingaman Amdt. No. 143; To restore funding for education programs that are cut and reduce debt by closing corporate tax loopholes.,44,49
2005-03-15,1,46,S.Con.Res. 18,On the Amendment S.Amdt. 152,Agreed to,Graham Amdt. No. 152 As Modified; To express the sense of the Senate regarding the urgent need for legislation to ensure the long-term viability of the Social Security program.,100,0
2005-03-15,1,47,S.Con.Res. 18,On the Amendment S.Amdt. 144,Rejected,Conrad Amdt. No. 144; To ensure that 75-year solvency has been restored to Social Security before Congress considers new deficit-financed legislation that would increase mandatory spending or cut taxes.,45,55
2005-03-15,1,48,S.Con.Res. 18,On the Amendment S.Amdt. 150,Agreed to,"DeMint Amdt. No. 150; To express the sense of the Senate that failing to address the financial condition of Social Security will result in massive debt, deep benefit cuts and tax increases.",56,43
2005-03-15,1,49,S.Con.Res. 18,On the Amendment S.Amdt. 145,Rejected,Nelson (FL) Amdt. No. 145; To express the sense of the Senate that Congress should reject any Social Security plan that requires deep benefit cuts or a massive increase in debt.,50,50
2005-03-15,1,50,S.Con.Res. 18,On the Amendment S.Amdt. 147,Rejected,"Stabenow Amdt. No. 147; To protect the American people from terrorist attacks by providing the necessary resources to our firefighters, police, EMS workers and other first-responders by restoring $1,626 billion in cuts to first-responder programs.",46,54
2005-03-16,1,51,S.Con.Res. 18,On the Amendment S.Amdt. 158,Rejected,Byrd Amdt. No. 158; To provide adequate funding of $1.4 billion in fiscal year 2006 to preserve a national intercity passenger rail system.,46,52
2005-03-16,1,52,S.Con.Res. 18,On the Amendment S.Amdt. 168,Rejected,Cantwell Amdt. No. 168; To strike section 201(a)(4) relative to the Arctic National Wildlife Refuge.,49,51
2005-03-16,1,53,S.Con.Res. 18,On the Amendment S.Amdt. 186,Rejected,Feingold Amdt. No. 186; To fully reinstate the pay-as-you-go requirement.,50,50
2005-03-16,1,54,S.Con.Res. 18,On the Amendment S.Amdt. 171,Agreed to,"Ensign Amdt. No. 170; To increase veterans medical care by $410,000,000 in fiscal year 2006.",96,4
2005-03-16,1,55,S.Con.Res. 18,On the Amendment S.Amdt. 149,Rejected,Akaka Amdt. No. 149; To increase veterans medical care by $2.8 billion in 2006.,47,53
2005-03-16,1,56,S.Con.Res. 18,On the Amendment S.Amdt. 173,Agreed to,"Specter Amdt. No. 173; To increase discretionary health and education funding by $2,000,000,000.",63,37
2005-03-17,1,57,S.Con.Res. 18,On the Amendment S.Amdt. 229,Rejected,Frist Amdt. No. 229; To express the sense of the Senate regarding Medicaid reconciliation legislation consistent with recommendations from the Secretary of Health and Human Services.,49,51
2005-03-17,1,58,S.Con.Res. 18,On the Amendment S.Amdt. 204,Agreed to,"Smith Amdt. No. 204; To create a reserve fund for the establishment of a Bipartisan Medicaid Commission to consider and recommend appropriate reforms to the Medicaid program, and to strike Medicaid cuts to protect states and vulnerable populations.",52,48
2005-03-17,1,59,S.Con.Res. 18,On the Amendment S.Amdt. 207,Rejected,Carper Amdt. No. 207; To provide for full consideration of tax cuts in the Senate under regular order.,49,51
2005-03-17,1,60,S.Con.Res. 18,On the Amendment S.Amdt. 214,Rejected,"Snowe Amdt. No. 214; To ensure that any savings associated with legislation that provides the Secretary of Health and Human Services with the authority to participate in the negotiation of contracts with manufacturers of covered part D drugs to achieve the best possible prices for such drugs under part D of title XVIII of the Social Security Act, that requires the Secretary to negotiate contracts with manufacturers of such drugs for each fallback prescription drug plan, and that requires the Secretary to participate in the negotiation for a contract for any such drug upon the request of a prescription drug plan or an MA-PD plan, is reserved for reducing expenditures under such part.",49,50
2005-03-17,1,61,S.Con.Res. 18,On the Amendment S.Amdt. 172,Rejected,Harkin Amdt. No. 172; To restore the Perkins Vocational Education program and provide for deficit reduction paid for through the elimination of the phase out of the personal exemption limitation and itemized deduction limitation for high-income taxpayers now scheduled to start in 2006.,44,56
2005-03-17,1,62,S.Con.Res. 18,On the Amendment S.Amdt. 219,Agreed to,Landrieu Amdt. No. 219; To establish a reserve fund in the event that legislation is passed to provide a 50 percent tax credit to employers that continue to pay the salaries of Guard and Reserve employees who have been called to active duty.,100,0
2005-03-17,1,63,S.Con.Res. 18,On the Amendment S.Amdt. 210,Rejected,Dorgan Amdt. No. 210; To repeal the tax subsidy for certain domestic companies which move manufacturing operations and American jobs offshore.,40,59
2005-03-17,1,64,S.Con.Res. 18,On the Amendment S.Amdt. 220,Agreed to,"Lieberman Amdt. No. 220; To protect the American people from terrorist attacks by restoring $565 million in cuts to vital first-responder programs in the Department of Homeland Security, including the State Homeland Security Grant program, by providing $150 million for port security grants and by providing $140 million for 1,000 new border patrol agents.",63,37
2005-03-17,1,65,S.Con.Res. 18,On the Amendment S.Amdt. 156,Rejected,Sarbanes Amdt. No. 156; To restore funding for the Community Development Block Grant (CDBG) program.,49,51
2005-03-17,1,66,S.Con.Res. 18,On the Amendment S.Amdt. 230,Agreed to,Coleman Amdt. No. 230; To fully fund the Community Development Block Grant (CDBG) program.,68,31
