     1  Federalist
     9  Jefferson Republican
    10  Anti-Federalist
    11  Jefferson Democrat
    13  Democrat-Republican
    22  Adams
    25  National Republican
    26  Anti Masonic
    29  Whig
    34  Whig and Democrat
    37  Constitutional Unionist
    40  Anti-Democrat and States Rights
    41  Anti-Jackson Democrat
    43  Calhoun Nullifier
    44  Nullifier
    46  States Rights
    48  States Rights Whig
   100  Democrat
   101  Jackson Democrat
   103  Democrat and Anti-Mason
   104  Van Buren Democrat
   105  Conservative Democrat
   108  Anti-Lecompton Democrat
   110  Popular Sovereignty Democrat
   112  Conservative
   114  Readjuster
   117  Readjuster Democrat
   118  Tariff for Revenue Democrat
   119  United Democrat
   200  Republican
   202  Union Conservative
   203  Unconditional Unionist
   206  Unionist
   208  Liberal Republican
   212  United Republican
   213  Progressive Republican
   214  Non-Partisan and Republican
   215  War Democrat
   300  Free Soil
   301  Free Soil Democrat
   302  Free Soil Whig
   304  Anti-Slavery
   308  Free Soil American and Democrat
   310  American
   326  National Greenbacker
   328  Independent 
   329  Ind. Democrat
   331  Ind. Republican
   333  Ind. Republican-Democrat
   336  Anti-Monopolist
   337  Anti-Monopoly Democrat
   340  Populist
   341  People's
   347  Prohibitionist
   353  Ind. Silver Republican
   354  Silver Republican
   355  Union 
   356  Union Labor
   370  Progressive
   380  Socialist
   401  Fusionist
   402  Liberal
   403  Law and Order
   522  American Labor
   537  Farmer-Labor
   555  Jackson
   603  Ind. Whig
  1060  Silver
  1061  Emancipationist 
  1111  Liberty
  1116  Conservative Republican
  1275  Anti-Jackson
  1346  Jackson Republican
  3333  Opposition
  4000  Anti-Administration
  4444  Union
  5000  Pro-Administration
  6000  Crawford Federalist
  6666  Crawford Republican
  7000  Jackson Federalist
  7777  Crawford Republican
  8000  Adams-Clay Federalist
  8888  Adams-Clay Republican     
  9000  Unknown
  9999  Unknown
