Student Number;Question 1 ID;Question 2 ID;Question 3 ID;Question 4 ID;Question 5 ID
0;13080;190;15071;1593;537
1;2291;15032;1112;11542;807
2;1136;456;5916;1634;713
3;2504;1119;15033;999;13243
4;130;12814;648;1136;13243
5;12721;12709;223;194;13239
6;12932;2514;242;13239;13228
7;3917;92;810;206;1143
8;1135;807;5504;11542;2497
9;12718;15061;12171;190;471
10;1110;12729;2321;15011;12710
11;5456;5620;753;15403;1630
12;637;817;12171;2516;13222
13;5561;15049;713;223;12171
14;754;15053;766;13517;753
15;527;713;15033;13278;12721
16;3855;13215;13276;114;13205
17;15071;13078;15049;1122;337
18;753;2489;13282;999;15403
19;15413;13222;15053;2497;12209
20;13509;696;13276;2214;631
21;194;5620;1110;1619;445
22;2371;12810;102;1014;713
23;12709;12721;3855;13276;12790
24;166;1112;760;5553;15063
25;13222;15057;12754;5594;13241
26;12930;1049;166;172;12929
27;1634;13211;13282;13078;243
28;12745;5601;2291;12776;13205
29;45;12729;1140;15057;15147
30;159;11542;1110;243;13074
31;166;471;12932;12729;13074
32;15011;13239;15014;12711;15057
33;1630;445;1135;92;2504
34;15051;12803;12812;13235;92
35;13241;397;1011;167;760
36;5475;2516;714;602;226
37;1634;1143;1014;15030;15413
38;13509;12932;13278;3855;13221
39;223;13205;12797;114;276
40;2371;65;166;15030;2355
41;1112;65;1110;2291;13286
42;760;11542;13509;2355;445
43;12793;15053;13510;2202;15011
44;15011;12797;754;3859;45
45;12718;206;5561;13201;12752
46;27;15052;3917;13243;2517
47;1608;15029;2202;697;471
48;13078;2291;12797;13229;276
49;708;5584;2514;5580;13292
50;13221;648;575;15030;276
51;3917;45;807;337;813
52;2193;13274;1119;12716;2511
53;12734;914;13239;15051;15032
54;12803;15147;13231;12098;12208
55;226;13221;13243;13222;15065
56;12208;172;13222;12745;12790
57;13235;12783;12810;13276;13278
58;13080;226;2291;2214;1593
59;5620;12710;12179;1634;5504
60;5553;15032;2343;2291;13230
61;15014;13078;1630;15032;15049
62;12930;1135;13228;5580;12790
63;1109;602;159;807;2214
64;276;818;12729;15872;397
65;13231;337;713;12171;13509
66;15011;15065;12711;2517;602
67;2321;15052;716;3917;713
68;13276;13078;813;2355;2517
69;2202;2489;910;13215;2514
70;575;13509;2355;13228;13212
71;12752;12790;276;12776;12721
72;13273;13078;1136;5456;3855
73;537;807;910;15061;1608
74;809;13514;2355;1608;5601
75;637;445;1634;5584;166
76;12803;15413;15071;813;2202
77;1119;766;13217;5601;13274
78;2497;5594;5916;172;66
79;206;3855;13243;13234;999
80;12752;910;2504;12098;12674
81;66;766;12797;15051;12710
82;2497;1135;12814;2511;166
83;13275;12812;13080;15415;11542
84;3917;12098;13;13205;2343
85;914;1608;5601;66;15030
86;12745;456;5601;12720;13275
87;12109;1112;13224;2343;13241
88;1112;631;2516;12817;15063
89;1619;12729;13278;809;13235
90;1014;5584;15413;2497;2193
91;15051;5594;5504;13080;15030
92;15147;5916;2514;631;13212
93;1608;2321;602;2355;15053
94;708;1112;15065;12209;696
95;102;13282;167;602;13286
96;713;13228;12734;1109;12209
97;13236;445;12793;766;713
98;15065;637;15030;12745;2355
99;15052;754;1634;15071;13286
100;13228;167;15061;3917;2517
101;13207;13215;194;2514;5916
102;5580;999;15052;807;13234
103;2504;15147;2354;2516;13239
104;1122;12729;910;595;5916
105;12810;13229;13277;12812;1136
106;5584;13221;13234;12718;1140
107;760;12718;766;1593;708
108;1608;12929;226;15053;753
109;1593;13207;2371;2514;114
110;12793;15049;375;13231;2321
111;12803;13234;691;1593;13221
112;1014;12109;15049;471;3859
113;2234;1619;2343;13282;13275
114;12718;13274;5584;2348;13205
115;13517;537;130;575;12718
116;1049;15011;1112;15033;15403
117;13277;631;5475;602;13273
118;5504;813;12817;13231;2214
119;1634;27;12729;12754;13080
120;809;65;637;5601;172
121;13273;2234;2193;27;12709
